
opening,18.300000000000182
opening,18.300000000000182,-18.300000000000182
opening,16.100000000000364,-16.90000000000009
opening,-5.199999999999818,-16.90000000000009
opening,67.30000000000018,-67.90000000000009
opening,130.9000000000001,-130.9000000000001
opening,131.0,-131.80000000000018
opening,122.0,-122.40000000000009
opening,48.90000000000009,-91.70000000000027
opening,29.90000000000009,-30.300000000000182
midgame,-11.599999999999909,-29.800000000000182
midgame,-34.90000000000009,21.0
midgame,-34.40000000000009,23.90000000000009
midgame,47.09999999999991,-47.09999999999991
midgame,24.09999999999991,-47.09999999999991
midgame,69.59999999999991,-69.59999999999991
midgame,47.59999999999991,-49.09999999999991
midgame,49.0,-49.0
midgame,69.0,-69.0
midgame,-24.299999999999727,-69.0
endgame,-22.799999999999727,21.299999999999727
endgame,-3.799999999999727,3.299999999999727
endgame,-46.79999999999973,0.7999999999997272
endgame,49.40000000000009,-51.90000000000009
endgame,68.90000000000009,-73.40000000000009
endgame,78.80000000000018,-83.80000000000018
endgame,88.30000000000018,-91.80000000000018
endgame,150.30000000000018,-153.30000000000018
endgame,192.9000000000001,-194.80000000000018
endgame,214.19999999999982,-215.9000000000001
endgame,235.5,-237.5
endgame,234.5,-238.0
opening,18.300000000000182,-18.300000000000182
opening,17.600000000000364,-17.600000000000364
opening,-13.699999999999818,-8.400000000000091
opening,59.30000000000018,-59.90000000000009
opening,18.100000000000364,-58.70000000000027
opening,-3.699999999999818,-17.200000000000273
opening,57.70000000000027,-57.70000000000027
opening,26.800000000000182,-26.800000000000182
opening,26.800000000000182,-27.200000000000273
midgame,-12.799999999999727,12.399999999999636
midgame,-64.79999999999973,-11.100000000000364
midgame,-45.29999999999973,2.699999999999818
midgame,-97.09999999999991,53.69999999999982
midgame,-52.5,52.19999999999982
midgame,-53.40000000000009,53.09999999999991
midgame,-52.79999999999973,52.5
midgame,-22.799999999999727,22.5
midgame,-12.900000000000091,12.699999999999818
midgame,-11.400000000000091,11.400000000000091
endgame,-2.900000000000091,1.5
endgame,-2.900000000000091,2.800000000000182
endgame,16.90000000000009,-16.90000000000009
endgame,-6.200000000000273,-16.299999999999727
endgame,-2.400000000000091,-17.699999999999818
endgame,-9.900000000000091,0.8000000000001819
endgame,59.0,-61.59999999999991
endgame,68.0,-69.5
endgame,92.0,-93.5
endgame,92.0,-93.90000000000009
endgame,91.40000000000009,-93.30000000000018
endgame,112.0,-113.30000000000018
endgame,132.80000000000018,-133.30000000000018
opening,18.300000000000182,-18.300000000000182
opening,5.300000000000182,-26.600000000000364
opening,33.600000000000364,-33.600000000000364
opening,10.100000000000364,-32.20000000000027
opening,74.20000000000027,-74.20000000000027
opening,46.80000000000018,-47.600000000000364
opening,47.0,-47.40000000000009
opening,46.90000000000009,-47.30000000000018
opening,48.5,-48.80000000000018
midgame,48.09999999999991,-48.40000000000009
midgame,68.40000000000009,-68.70000000000027
midgame,78.0,-78.30000000000018
midgame,88.40000000000009,-88.60000000000036
midgame,88.90000000000009,-89.30000000000018
midgame,193.0,-193.0999999999999
midgame,174.0999999999999,-174.4000000000001
midgame,195.4000000000001,-195.4000000000001
midgame,163.79999999999973,-186.19999999999982
midgame,235.69999999999982,-235.79999999999973
endgame,256.1999999999998,-256.1999999999998
endgame,231.89999999999964,-254.29999999999973
endgame,302.89999999999964,-302.89999999999964
endgame,323.39999999999964,-325.39999999999964
endgame,317.0999999999999,-336.7999999999997
endgame,316.5999999999999,-317.5999999999999
